raw_symbol,instrument_id,date
TSLA,10647,2022-01-11
TSLA,10654,2022-01-12
TSLA,10661,2022-01-13
TSLA,10672,2022-01-14
TSLA,10672,2022-01-15
TSLA,10672,2022-01-16
TSLA,10672,2022-01-17
TSLA,10668,2022-01-18
TSLA,10670,2022-01-19
TSLA,10687,2022-01-20
TSLA,10699,2022-01-21
TSLA,10699,2022-01-22
TSLA,10699,2022-01-23
TSLA,10714,2022-01-24
TSLA,10715,2022-01-25
TSLA,10722,2022-01-26
TSLA,10730,2022-01-27
TSLA,10731,2022-01-28
TSLA,10731,2022-01-29
TSLA,10731,2022-01-30
TSLA,10747,2022-01-31
TSLA,10751,2022-02-01
TSLA,10750,2022-02-02
TSLA,10754,2022-02-03
TSLA,10767,2022-02-04
TSLA,10767,2022-02-05
TSLA,10767,2022-02-06
TSLA,10783,2022-02-07
TSLA,10790,2022-02-08
TSLA,10793,2022-02-09
TSLA,10805,2022-02-10
TSLA,10813,2022-02-11
TSLA,10813,2022-02-12
TSLA,10813,2022-02-13
TSLA,10813,2022-02-14
TSLA,10817,2022-02-15
TSLA,10819,2022-02-16
TSLA,10826,2022-02-17
TSLA,10824,2022-02-18
TSLA,10824,2022-02-19
TSLA,10824,2022-02-20
TSLA,10824,2022-02-21
TSLA,10828,2022-02-22
TSLA,10833,2022-02-23
TSLA,10847,2022-02-24
TSLA,10848,2022-02-25
TSLA,10848,2022-02-26
TSLA,10848,2022-02-27
TSLA,10849,2022-02-28
TSLA,10851,2022-03-01
TSLA,10845,2022-03-02
TSLA,10847,2022-03-03
TSLA,10854,2022-03-04
TSLA,10854,2022-03-05
TSLA,10854,2022-03-06
TSLA,10858,2022-03-07
TSLA,10860,2022-03-08
TSLA,10859,2022-03-09
TSLA,10862,2022-03-10
TSLA,10862,2022-03-11
TSLA,10862,2022-03-12
TSLA,10862,2022-03-13
TSLA,10872,2022-03-14
TSLA,10870,2022-03-15
TSLA,10874,2022-03-16
TSLA,10883,2022-03-17
